,公司,年月,TSE新產業名,TEJ子產業名,實收資本額(元),實收資本額(NTD),本期匯出金額(NTD),期末帳面值(NTD),累計台灣匯出總額(NTD),經濟部核准金額(NTD),  現金及約當現金,  不動產廠房及設備,  其他應付款,  當期所得稅負債,  應計退休金負債,  股本,    法定盈餘公積,    未分配盈餘,  保留盈餘,母公司股東權益合計,股東權益總額,營業收入淨額,營業費用,稅前淨利,所得稅費用,繼續營業單位損益,合併總損益,本期綜合損益總額,歸屬母公司淨利（損）,綜合損益歸屬母公司,加權平均股數,稀釋稅後淨利,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利,期末普通股－現金股利,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,期初現金及約當現金,期末現金及約當現金,期末累計匯出金額(NTD)
0,1101,2018-12-28,M1100 水泥工業,M11A 水泥製造,56656192040,64906168.0,523224.0,120556099.0,72144649.0,73433132,48507889.0,91093825,11683170.0,4090640.0,210515.0,53080599,14784534.0,33755165.0,61588761.0,181541510,197379456,124594602.0,5410638.0,30544421.0,7900350.0,22644071.0,22644071.0,19707395.0,21180821.0,18245179.0,4849335.0,21180821.0,4851464.0,33004723.0,39521444.0,22753293.0,16856367.0,30544421.0,6129527.0,387194.0,22150720.0,26331218.0,48507889.0,48621101.0
1,1101,2017-12-29,M1100 水泥工業,M11A 水泥製造,56656192040,63518303.0,3422400.0,100961425.0,44199303.0,74839080,26331218.0,94709404,8839408.0,1651042.0,211697.0,42465090,14025109.0,21944766.0,49019510.0,136348204,152647216,98311776.0,4950029.0,13824659.0,3501859.0,10322800.0,10322800.0,20299572.0,7594247.0,17775812.0,3738370.0,7594247.0,3739270.0,15747968.0,22211761.0,10983992.0,6360764.0,13824659.0,6080554.0,383239.0,12310560.0,28179758.0,26331218.0,46632815.0
2,1101,2016-12-30,M1100 水泥工業,M11A 水泥製造,56656192040,64444944.0,6259725.0,59706804.0,41812077.0,47946356,28179758.0,101799766,7732857.0,1324329.0,184115.0,36921759,13389264.0,20897776.0,47337524.0,106768051,147396671,89564306.0,4946868.0,11515335.0,2673260.0,8842075.0,8842075.0,1854361.0,6358452.0,2411113.0,3692176.0,6358452.0,3693467.0,13432172.0,20422719.0,9636065.0,5353655.0,11515335.0,6587626.0,402921.0,18750155.0,38977360.0,28179758.0,47874108.0
3,1101,2015-12-31,M1100 水泥工業,M11A 水泥製造,56656192040,60430820.0,6947298.0,56226126.0,39715857.0,42388727,38977360.0,113310134,8935660.0,1214642.0,287238.0,36921759,12811665.0,19710897.0,45573057.0,108042985,155484252,93679076.0,4854318.0,8666015.0,1740389.0,6925626.0,6925626.0,-592418.0,5775989.0,-806454.0,3692176.0,5775989.0,3694005.0,10539754.0,17958912.0,6803992.0,4910594.0,8666015.0,7021678.0,397480.0,21763392.0,30514042.0,38977360.0,41838707.0
4,1101,2014-12-31,M1100 水泥工業,M11A 水泥製造,56656192040,54233375.0,1269063.0,51141644.0,34393308.0,36674314,30514042.0,108445563,8406652.0,2226142.0,294307.0,36921759,11728778.0,24750795.0,49530227.0,117958870,162017681,118325809.0,5014926.0,21198720.0,4614844.0,16583876.0,16583876.0,19809527.0,10828868.0,13340699.0,3692176.0,10828868.0,3694192.0,23105935.0,29782835.0,16420654.0,9193518.0,21198720.0,6331499.0,345401.0,19904673.0,25711065.0,30514042.0,31597498.0
5,1101,2013-12-31,M1100 水泥工業,M11A 水泥製造,56656192040,49382951.0,597577.0,43798153.0,30600199.0,34168515,25711065.0,109369671,9793971.0,1899948.0,303577.0,36921759,10726105.0,23488214.0,47265512.0,113077945,153618577,116098947.0,5047022.0,18604456.0,3485773.0,15118683.0,15118683.0,21240565.0,10026731.0,14336481.0,3692176.0,10026731.0,3694120.0,20514756.0,27688979.0,14713470.0,8492004.0,18604456.0,6839020.0,335203.0,21973605.0,25611406.0,25711065.0,29079133.0
6,1101,2012-12-28,M1100 水泥工業,M11A 水泥製造,56656192040,35956044.0,4409597.0,30970527.0,30402668.0,32779230,25611406.0,104289140,9162750.0,1266913.0,332765.0,36921759,9952623.0,21094539.0,44108112.0,105961810,141806340,113699313.0,4541914.0,12120888.0,2122669.0,9998219.0,9998219.0,11980153.0,7784265.0,10232450.0,3692176.0,,,14844470.0,21304303.0,9297087.0,7015134.0,12120888.0,6108714.0,351119.0,25434756.0,22140268.0,25611406.0,25986928.0
7,1102,2018-12-28,M1100 水泥工業,M11A 水泥製造,33614471980,41725739.0,0.0,60222874.0,13882433.0,69356778,14929411.0,52549341,566027.0,2181268.0,185107.0,33614472,15615380.0,20358461.0,99918986.0,137892226,159048346,82741004.0,3018351.0,20370118.0,5480921.0,14889197.0,14889197.0,16325370.0,11117094.0,12811353.0,3139152.0,11143732.0,3192393.0,22043303.0,26962495.0,15923255.0,9412052.0,20370118.0,4649561.0,269631.0,9264060.0,7739492.0,14929411.0,9263670.0
8,1102,2017-12-29,M1100 水泥工業,M11A 水泥製造,33614471980,40648800.0,0.0,53093813.0,14147802.0,67196800,7739492.0,53738838,535775.0,1155972.0,193291.0,33614472,15068480.0,16125837.0,94196274.0,127435565,145796364,64899248.0,2733762.0,8499159.0,1833618.0,6665541.0,6665541.0,8785080.0,5469007.0,7895746.0,3139297.0,5470384.0,3147654.0,10271234.0,15448825.0,6581964.0,4033737.0,8499159.0,4839940.0,337651.0,8139048.0,7450006.0,7739492.0,9672881.0
9,1102,2016-12-30,M1100 水泥工業,M11A 水泥製造,33614471980,43763446.0,0.0,52199114.0,14532150.0,57340375,7450006.0,58832486,545698.0,429732.0,167129.0,33614472,14673903.0,14805588.0,91599413.0,122663077,140663221,60946190.0,2355226.0,6476589.0,1793292.0,4683297.0,4683297.0,-10005099.0,3945769.0,-9550011.0,3139998.0,4052513.0,3265993.0,8114807.0,13558345.0,4397756.0,3025302.0,6476589.0,5241445.0,202093.0,12817431.0,11024089.0,7450006.0,10640458.0
