"","Estimate","Std. Error","t-value","Pr(>|t|)"
"(Intercept)",9592079.7591799,831303.981761363,11.5385947494877,2.61844736863655e-30
"IndustryM1200 食品工業",-7471172.10689332,944419.758811929,-7.91085959096407,3.30727543013283e-15
"IndustryM1300 塑膠工業",-5482506.53798366,939576.127476164,-5.8350849682723,5.81581930352883e-09
"IndustryM1400 紡織纖維",-8459449.96243462,905940.459729835,-9.33775489501524,1.61213055374886e-20
"IndustryM1500 電機機械",-8942551.94927517,903544.268861769,-9.89719292950688,7.96194776292773e-23
"IndustryM1600 電器電纜",-7170181.39239047,1047216.56027736,-6.84689458166269,8.7371143913039e-12
"IndustryM1721 化學工業",-9022682.8760741,915738.260930833,-9.85290585860494,1.22506096477967e-22
"IndustryM1722 生技醫療",-9462305.51556463,922534.955091818,-10.2568531017048,2.25084099326003e-24
"IndustryM1800 玻璃陶瓷",-1636444.96275366,1253678.71374011,-1.30531446758926,0.19186318782345
"IndustryM1900 造紙工業",-3998961.82753142,1202211.08295787,-3.32633917971587,0.000888134505229635
"IndustryM2000 鋼鐵工業",-9075848.20419206,972682.259397519,-9.33074302168692,1.71993778355203e-20
"IndustryM2100 橡膠工業",-8249261.9466193,1042943.59794494,-7.90959545930769,3.34049205907136e-15
"IndustryM2200 汽車工業",-8331738.97380606,920826.839814729,-9.04810612979354,2.25027540876913e-19
"IndustryM2324 半導體",-10492405.8887358,870482.406763434,-12.0535530726553,7.13279948601429e-33
"IndustryM2325 電腦及週邊",-7640942.38170344,870876.78587869,-8.77385010784729,2.54152920854027e-18
"IndustryM2326 光電業",-7814387.1977545,867343.084502354,-9.0095688054492,3.17694941793328e-19
"IndustryM2327 通信網路業",-9205075.85201718,891510.344223669,-10.3252597254303,1.12713806356961e-24
"IndustryM2328 電子零組件",-8044365.48313622,854513.418052372,-9.41397210762487,7.9533842373003e-21
"IndustryM2329 電子通路業",-8947148.11978984,948539.827862098,-9.43254869956879,6.68975266716302e-21
"IndustryM2330 資訊服務業",-9481583.30202831,1044641.58343191,-9.07639850108099,1.74540882594884e-19
"IndustryM2331 其他電子業",-8465438.12828617,893786.065527092,-9.47143668355789,4.65223014131079e-21
"IndustryM2500 建材營造",-9417086.19259292,918045.224833718,-10.2577584827573,2.23039342532183e-24
"IndustryM2600 航運業",-11553693.6900162,1008833.47564952,-11.4525280622529,6.86550682513983e-30
"IndustryM2700 觀光事業",-9510930.53148723,1131707.21909525,-8.40405572307898,5.97869559556535e-17
"IndustryM2800 金融業",-19787842.5034123,1055070.85155651,-18.7549892732038,3.39806113735387e-75
"IndustryM2900 貿易百貨",-9470839.1049118,994816.7258043,-9.52018483329653,2.94482066850431e-21
"IndustryM9700 油電燃氣業",-14761790.9747631,1580054.34921481,-9.34258431179838,1.54179372725513e-20
"IndustryM9900 其他",-9010110.2520264,884881.611948859,-10.1822776407146,4.76085996520683e-24
"Cash",0.1260840532776,0.00467339205105216,26.9791303405016,4.46800589136573e-147
"PPnE",-0.0318831920236383,0.00362761483903167,-8.78902348744084,2.22657909312886e-18
"Stock",0.120144482477573,0.00784379727395723,15.3171325419734,1.83077395248122e-51
"RetainedEarnings",-0.00750232963768679,0.00473013526382399,-1.58607084559812,0.112804728090382
